Date & Time,PGV/PGA,PGA,Rock Status
2022-09-07 10:01:26.762597,0.05,0.05,N
2022-09-07 10:03:26.334065,0.2,0.2,Y
2022-09-07 10:04:19.455357,0.05,0.05,N
2022-09-07 10:05:34.087415,0.05,0.05,N
2022-09-07 10:05:51.623017,0.2,0.05,Y
2022-09-07 10:06:17.980639,0.15,0.05,Y
2022-09-07 10:09:34.997340,0.1,0.05,Y
2022-09-07 10:10:04.077851,0.05,0.1,Y
2022-09-07 10:10:32.765521,0.05,0.3,Y
2022-09-07 10:10:58.480784,0.01,0.05,N
2022-09-07 10:12:20.241638,0.02,0.4,Y
2022-09-07 10:13:26.833324,0.05,0.1,Y
2022-09-07 10:13:37.341927,0.05,0.2,Y
2022-09-07 10:13:50.400017,0.05,0.3,Y
2022-09-07 10:14:04.053520,0.05,0.5,Y
2022-09-07 10:14:19.400604,0.01,0.5,Y
2022-09-07 10:14:44.363127,0.2,0.01,N
2022-09-07 10:15:02.875352,0.5,0.01,N
2022-09-07 10:15:17.514402,0.1,0.05,Y
2022-09-07 10:16:02.958425,0.2,0.02,N
2022-09-07 10:16:16.770992,0.3,0.02,N
2022-09-07 10:16:35.142721,0.4,0.02,N
2022-09-07 10:16:48.723360,0.4,0.02,N
2022-09-07 10:17:28.331642,0.1,0.04,N
2022-09-07 10:17:44.542782,0.2,0.04,Y
2022-09-07 10:18:02.809520,0.4,0.04,Y
2022-09-07 10:19:30.521354,0.5,0.029999999999999995,N
2022-09-07 10:21:35.654266,0.02,0.2,Y
2022-09-07 10:22:04.726891,0.02,0.3,Y
2022-09-07 10:22:34.095774,0.01,0.2,N
2022-09-07 10:22:54.803418,0.01,0.1,N
2022-09-07 10:23:26.001914,0.01,0.3,N
2022-09-07 10:23:43.583389,0.01,0.4,Y
2022-09-07 10:24:10.495768,0.01,0.5,Y
2022-09-07 10:24:54.521505,0.1,0.01,N
2022-09-07 10:25:18.144651,0.1,0.025,N
2022-09-07 10:25:32.504092,0.1,0.4,Y
2022-09-07 10:25:43.558433,0.1,0.04,N
2022-09-07 10:25:52.402099,0.1,0.05,Y
2022-09-07 10:26:01.569041,0.1,0.1,Y
2022-09-07 10:26:14.960150,0.1,0.2,Y
2022-09-07 10:26:34.719489,0.1,0.3,Y
2022-09-07 10:26:49.873292,0.1,0.4,Y
2022-09-07 10:27:24.726345,0.1,0.5,Y
2022-09-07 10:27:42.402300,0.2,0.01,N
2022-09-07 10:28:01.023846,0.2,0.02,N
2022-09-07 10:28:18.605456,0.2,0.029999999999999995,N
2022-09-07 10:28:30.785338,0.2,0.04,Y
2022-09-07 10:28:51.704243,0.2,0.1,Y
2022-09-07 10:29:42.777946,0.2,0.01,N
2022-09-07 10:30:03.685551,0.2,0.029999999999999995,N
2022-09-07 10:30:19.146939,0.2,0.035,N
2022-09-07 10:30:39.869679,0.2,0.04,Y
2022-09-07 10:31:04.465723,0.2,0.1,Y
2022-09-07 10:31:31.937186,0.25,0.01,N
2022-09-07 10:32:02.961208,0.25,0.02,N
2022-09-07 10:32:44.251254,0.2,0.029999999999999995,N
2022-09-07 10:32:56.584116,0.2,0.04,Y
2022-09-07 10:33:07.632182,0.2,0.035,N
2022-09-07 10:33:31.244600,0.2,0.035,N
2022-09-07 10:33:50.239178,0.2,0.04,Y
2022-09-07 10:35:50.267002,0.2,0.05,Y
2022-09-07 10:36:45.967451,0.2,0.1,Y
2022-09-07 10:37:00.774497,0.3,0.01,N
2022-09-07 10:37:15.994203,0.3,0.02,N
2022-09-07 10:39:18.724963,0.3,0.025,N
2022-09-07 10:39:31.448221,0.3,0.029999999999999995,N
2022-09-07 10:40:28.392002,0.3,0.035,Y
2022-09-07 10:40:40.072577,0.3,0.04,Y
2022-09-07 10:40:55.575513,0.3,0.05,Y
2022-09-07 10:41:10.727715,0.3,0.075,Y
2022-09-07 10:41:23.272131,0.3,0.1,Y
2022-09-07 10:44:48.171391,0.4,0.01,N
2022-09-07 10:45:01.085975,0.4,0.02,N
2022-09-07 10:46:00.519530,0.4,0.029999999999999995,N
2022-09-07 10:46:20.630294,0.4,0.04,N
2022-09-07 10:46:40.064605,0.4,0.045,Y
2022-09-07 10:47:20.586369,0.4,0.038,Y
2022-09-07 10:47:43.006463,0.4,0.075,Y
2022-09-07 10:48:15.312097,0.4,0.1,Y
2022-09-07 10:48:37.004362,0.4,0.1,Y
2022-09-07 10:49:15.475616,0.4,0.2,Y
2022-09-07 10:4946.963475,0.4,0.4,Y
